"Organ","Tissue_Cleaned","ARF","Synthesis","PAT","Old_IAA","Conjugation","n_cells","ARF_hat","residual"
"Stem","Parenchyma_cell",0.11668968826579,0.0188272975911996,0.030181329267351,0.0980735795816597,0.0360203760299626,4162,0.086215276950034,0.0304744113157557
"Stem","Procambium",0.0849569363978066,0.0113810934712546,0.029770214482578,0.117551302035767,0.0529964351458612,5165,0.082873874679858,0.0020830617179486
"Stem","ST-unknown",0.0841884276916268,0.0109244504395529,0.0245285844100727,0.0725106262013438,0.0456762505662925,749,0.073252388191809,0.0109360394998179
"Stem","Vascular_cylinder",0.137905495294352,0.0222544982352224,0.0443744817709967,0.187066358073328,0.0564403080137883,6495,0.117549951393345,0.020355543901007
"Seed","Epidermis",0.0498588061108174,0.0142116004533289,0.00581536880548185,0.0431427017466707,0.069000568359974,968,0.0883163561544184,-0.038457550043601
"Seed","Plumule",0.0681071862739598,0.00679883732642055,0.0112470170117354,0.0227231702774098,0.0247983745392751,1373,0.0405303225515774,0.0275768637223824
"Seed","Scutellum",0.0412232115687961,0.0148679560653781,0.00646351129970717,0.0235226464795027,0.0271577792837016,2479,0.0574559628985332,-0.0162327513297371
"Seed","Seed-unknown",0.0901484766833775,0.0140568887768785,0.0126570798311893,0.0382665512131131,0.0309037374870933,1133,0.0620287030453283,0.0281197736380492
"Seed","Vascular_cylinder",0.0768306309740043,0.0399992219390548,0.0119013914650679,0.119280448154747,0.123166085081977,323,0.190643880361846,-0.113813249387842
"Leaf","Epidermis",0.0810491848620779,0.012786404768933,0.01750844245445,0.110622574402783,0.073914508226999,1097,0.0954978139902836,-0.0144486291282057
"Leaf","Fiber",0.079678507028908,0.00954653370025226,0.0101566510999697,0.0631279219211442,0.0559794835047206,280,0.0703046282246717,0.00937387880423631
"Leaf","Guard_cell",0.0714858510446427,0.0186850561771281,0.0260894771539017,0.0767342012562307,0.0681724781801618,2293,0.108733330401106,-0.0372474793564628
"Leaf","Mesophyll",0.0620502080700289,0.00921560214989489,0.0119364316072249,0.0721115969560249,0.0782672672704257,9448,0.0879608877108447,-0.0259106796408158
"Leaf","Parenchyma_cell",0.0806570939462181,0.037326856871568,0.00482155573365058,0.0724296529041187,0.0914576334049471,210,0.156097228079605,-0.075440134133387
"Leaf","Vascular_cylinder",0.0933806998318935,0.0241558181479865,0.0533446616455831,0.1469127634036,0.091849652763107,443,0.154338150998509,-0.0609574511666152
