"gene","sample","normalized_expression","orig.ident","nCount_RNA","nFeature_RNA","Batch","Type","Tissue","Duration","Author","condition","group","dataset_dir","concentration_uM","auxin_compound","label","Concentration"
"PIN1","treat_2_auxin_root_24h_lewis",0.430876423683063,"treat",144802.538469348,22590,"auxin_root_24h_lewis","treat","root","24h","lewis","Auxin","treat","auxin_root_24h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","treat_3_auxin_root_24h_lewis",0.423645942115716,"treat",144875.202963885,22590,"auxin_root_24h_lewis","treat","root","24h","lewis","Auxin","treat","auxin_root_24h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","control_1_auxin_root_2h_lewis",0.38493696506617,"control",144905.159803495,22590,"auxin_root_2h_lewis","control","root","2h","lewis","Control","control","auxin_root_2h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","control_2_auxin_root_2h_lewis",0.373364264945066,"control",144845.655514571,22590,"auxin_root_2h_lewis","control","root","2h","lewis","Control","control","auxin_root_2h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","control_3_auxin_root_2h_lewis",0.39515330543634,"control",144718.580595369,22590,"auxin_root_2h_lewis","control","root","2h","lewis","Control","control","auxin_root_2h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","treat_1_auxin_root_2h_lewis",0.463208912280347,"treat",144940.700015881,22590,"auxin_root_2h_lewis","treat","root","2h","lewis","Auxin","treat","auxin_root_2h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","treat_2_auxin_root_2h_lewis",0.473923887128126,"treat",144960.52331451,22590,"auxin_root_2h_lewis","treat","root","2h","lewis","Auxin","treat","auxin_root_2h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","treat_3_auxin_root_2h_lewis",0.425138854184168,"treat",144883.688098146,22590,"auxin_root_2h_lewis","treat","root","2h","lewis","Auxin","treat","auxin_root_2h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","control_1_auxin_root_4h_lewis",0.40253901877696,"control",144848.651448325,22590,"auxin_root_4h_lewis","control","root","4h","lewis","Control","control","auxin_root_4h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","control_2_auxin_root_4h_lewis",0.382304662371914,"control",144826.343414401,22590,"auxin_root_4h_lewis","control","root","4h","lewis","Control","control","auxin_root_4h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","control_3_auxin_root_4h_lewis",0.376863288179435,"control",144812.395935967,22590,"auxin_root_4h_lewis","control","root","4h","lewis","Control","control","auxin_root_4h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","treat_1_auxin_root_4h_lewis",0.44467485091235,"treat",144886.920727317,22590,"auxin_root_4h_lewis","treat","root","4h","lewis","Auxin","treat","auxin_root_4h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","treat_2_auxin_root_4h_lewis",0.446295910867509,"treat",144894.144383529,22590,"auxin_root_4h_lewis","treat","root","4h","lewis","Auxin","treat","auxin_root_4h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","treat_3_auxin_root_4h_lewis",0.458693766736069,"treat",144862.849666918,22590,"auxin_root_4h_lewis","treat","root","4h","lewis","Auxin","treat","auxin_root_4h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","control_1_auxin_root_8h_lewis",0.413519904489353,"control",144812.499230489,22590,"auxin_root_8h_lewis","control","root","8h","lewis","Control","control","auxin_root_8h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","control_2_auxin_root_8h_lewis",0.391902603985047,"control",144823.513422043,22590,"auxin_root_8h_lewis","control","root","8h","lewis","Control","control","auxin_root_8h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","control_3_auxin_root_8h_lewis",0.399676333384904,"control",144744.097409198,22590,"auxin_root_8h_lewis","control","root","8h","lewis","Control","control","auxin_root_8h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","treat_1_auxin_root_8h_lewis",0.435601049310663,"treat",144950.172806519,22590,"auxin_root_8h_lewis","treat","root","8h","lewis","Auxin","treat","auxin_root_8h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","treat_2_auxin_root_8h_lewis",0.454084577641168,"treat",144916.250531644,22590,"auxin_root_8h_lewis","treat","root","8h","lewis","Auxin","treat","auxin_root_8h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","treat_3_auxin_root_8h_lewis",0.413805869150383,"treat",144868.756145071,22590,"auxin_root_8h_lewis","treat","root","8h","lewis","Auxin","treat","auxin_root_8h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","control_1_auxin_seedling_2h_okushima",0.368490978006962,"control",144850.414454846,22590,"auxin_seedling_2h_okushima","control","seedling","2h","okushima","Control","control","auxin_seedling_2h_okushima",5,"IAA","Auxin (IAA 5uM)",0
"PIN1","control_2_auxin_seedling_2h_okushima",0.367111627945324,"control",144852.755342067,22590,"auxin_seedling_2h_okushima","control","seedling","2h","okushima","Control","control","auxin_seedling_2h_okushima",5,"IAA","Auxin (IAA 5uM)",0
"PIN1","control_3_auxin_seedling_2h_okushima",0.406242026517164,"control",145027.418420535,22590,"auxin_seedling_2h_okushima","control","seedling","2h","okushima","Control","control","auxin_seedling_2h_okushima",5,"IAA","Auxin (IAA 5uM)",0
"PIN1","treat_1_auxin_seedling_2h_okushima",0.446776083241832,"treat",144752.38393162,22590,"auxin_seedling_2h_okushima","treat","seedling","2h","okushima","Auxin","treat","auxin_seedling_2h_okushima",5,"IAA","Auxin (IAA 5uM)",5
"PIN1","treat_2_auxin_seedling_2h_okushima",0.44681787118072,"treat",144785.81138481,22590,"auxin_seedling_2h_okushima","treat","seedling","2h","okushima","Auxin","treat","auxin_seedling_2h_okushima",5,"IAA","Auxin (IAA 5uM)",5
"PIN1","treat_3_auxin_seedling_2h_okushima",0.468210101024851,"treat",144786.604613882,22590,"auxin_seedling_2h_okushima","treat","seedling","2h","okushima","Auxin","treat","auxin_seedling_2h_okushima",5,"IAA","Auxin (IAA 5uM)",5
"PIN1","control_1_auxin_leaves_72h_romero-puertas",0.416360743187859,"control",144834.927944919,22590,"auxin_leaves_72h_romero-puertas","control","leaves","72h","romero-puertas","Control","control","auxin_leaves_72h_romero-puertas",10,"NAA","Auxin (NAA 10uM)",0
"PIN1","control_2_auxin_leaves_72h_romero-puertas",0.394636400861702,"control",144820.13560876,22590,"auxin_leaves_72h_romero-puertas","control","leaves","72h","romero-puertas","Control","control","auxin_leaves_72h_romero-puertas",10,"NAA","Auxin (NAA 10uM)",0
"PIN1","control_3_auxin_leaves_72h_romero-puertas",0.38860765493535,"control",144795.749595683,22590,"auxin_leaves_72h_romero-puertas","control","leaves","72h","romero-puertas","Control","control","auxin_leaves_72h_romero-puertas",10,"NAA","Auxin (NAA 10uM)",0
"PIN1","treat_1_auxin_leaves_72h_romero-puertas",0.429695622171352,"treat",144904.813770844,22590,"auxin_leaves_72h_romero-puertas","treat","leaves","72h","romero-puertas","Auxin","treat","auxin_leaves_72h_romero-puertas",10,"NAA","Auxin (NAA 10uM)",10
"PIN1","treat_2_auxin_leaves_72h_romero-puertas",0.444505686568699,"treat",144867.605003919,22590,"auxin_leaves_72h_romero-puertas","treat","leaves","72h","romero-puertas","Auxin","treat","auxin_leaves_72h_romero-puertas",10,"NAA","Auxin (NAA 10uM)",10
"PIN1","treat_3_auxin_leaves_72h_romero-puertas",0.427535010661554,"treat",144895.691298338,22590,"auxin_leaves_72h_romero-puertas","treat","leaves","72h","romero-puertas","Auxin","treat","auxin_leaves_72h_romero-puertas",10,"NAA","Auxin (NAA 10uM)",10
"PIN1","control_1_auxin_seedling_3h_shimada",0.402558851673257,"control",144936.148632461,22590,"auxin_seedling_3h_shimada","control","seedling","3h","shimada","Control","control","auxin_seedling_3h_shimada",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","control_2_auxin_seedling_3h_shimada",0.393393307346073,"control",144826.947354206,22590,"auxin_seedling_3h_shimada","control","seedling","3h","shimada","Control","control","auxin_seedling_3h_shimada",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","control_3_auxin_seedling_3h_shimada",0.39073368611849,"control",144820.075522564,22590,"auxin_seedling_3h_shimada","control","seedling","3h","shimada","Control","control","auxin_seedling_3h_shimada",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","treat_1_auxin_seedling_3h_shimada",0.439803396322009,"treat",144885.553254898,22590,"auxin_seedling_3h_shimada","treat","seedling","3h","shimada","Auxin","treat","auxin_seedling_3h_shimada",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","treat_2_auxin_seedling_3h_shimada",0.426882542428673,"treat",144878.829063559,22590,"auxin_seedling_3h_shimada","treat","seedling","3h","shimada","Auxin","treat","auxin_seedling_3h_shimada",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","treat_3_auxin_seedling_3h_shimada",0.45046814894128,"treat",144781.035680359,22590,"auxin_seedling_3h_shimada","treat","seedling","3h","shimada","Auxin","treat","auxin_seedling_3h_shimada",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","control_1_auxin_root_4h_stepanova",0.394295404728948,"control",144745.431466715,22590,"auxin_root_4h_stepanova","control","root","4h","stepanova","Control","control","auxin_root_4h_stepanova",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","control_2_auxin_root_4h_stepanova",0.396958894258315,"control",144900.51460241,22590,"auxin_root_4h_stepanova","control","root","4h","stepanova","Control","control","auxin_root_4h_stepanova",1,"IAA","Auxin (IAA 1uM)",0
"PIN1","treat_1_auxin_root_4h_stepanova",0.444887597289675,"treat",144826.342266078,22590,"auxin_root_4h_stepanova","treat","root","4h","stepanova","Auxin","treat","auxin_root_4h_stepanova",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","treat_2_auxin_root_4h_stepanova",0.437541929778756,"treat",144796.225628749,22590,"auxin_root_4h_stepanova","treat","root","4h","stepanova","Auxin","treat","auxin_root_4h_stepanova",1,"IAA","Auxin (IAA 1uM)",1
"PIN1","control_1_auxin_root_2h_vanneste",0.374260263602517,"control",144966.939261077,22590,"auxin_root_2h_vanneste","control","root","2h","vanneste","Control","control","auxin_root_2h_vanneste",10,"IAA","Auxin (IAA 10uM)",0
"PIN1","control_2_auxin_root_2h_vanneste",0.37517524175829,"control",144922.474082519,22590,"auxin_root_2h_vanneste","control","root","2h","vanneste","Control","control","auxin_root_2h_vanneste",10,"IAA","Auxin (IAA 10uM)",0
"PIN1","treat_1_auxin_root_2h_vanneste",0.461469334333532,"treat",144706.519274053,22590,"auxin_root_2h_vanneste","treat","root","2h","vanneste","Auxin","treat","auxin_root_2h_vanneste",10,"IAA","Auxin (IAA 10uM)",10
"PIN1","treat_2_auxin_root_2h_vanneste",0.465873552413908,"treat",144721.611518547,22590,"auxin_root_2h_vanneste","treat","root","2h","vanneste","Auxin","treat","auxin_root_2h_vanneste",10,"IAA","Auxin (IAA 10uM)",10
"PIN1","control_1_auxin_root_6h_vanneste",0.378392208690923,"control",145026.156491784,22590,"auxin_root_6h_vanneste","control","root","6h","vanneste","Control","control","auxin_root_6h_vanneste",10,"IAA","Auxin (IAA 10uM)",0
"PIN1","control_2_auxin_root_6h_vanneste",0.378755841375565,"control",145031.752703641,22590,"auxin_root_6h_vanneste","control","root","6h","vanneste","Control","control","auxin_root_6h_vanneste",10,"IAA","Auxin (IAA 10uM)",0
"PIN1","treat_1_auxin_root_6h_vanneste",0.462136799436863,"treat",144524.822905649,22590,"auxin_root_6h_vanneste","treat","root","6h","vanneste","Auxin","treat","auxin_root_6h_vanneste",10,"IAA","Auxin (IAA 10uM)",10
"PIN1","treat_2_auxin_root_6h_vanneste",0.461936016373192,"treat",144628.818837339,22590,"auxin_root_6h_vanneste","treat","root","6h","vanneste","Auxin","treat","auxin_root_6h_vanneste",10,"IAA","Auxin (IAA 10uM)",10
"PIN1","control_1_auxin_root-apex_6h_xuan",0.406147714098271,"control",144924.81239729,22590,"auxin_root-apex_6h_xuan","control","root-apex","6h","xuan","Control","control","auxin_root-apex_6h_xuan",10,"IBA","Auxin (IBA 10uM)",0
"PIN1","control_2_auxin_root-apex_6h_xuan",0.398714551039767,"control",144926.036288684,22590,"auxin_root-apex_6h_xuan","control","root-apex","6h","xuan","Control","control","auxin_root-apex_6h_xuan",10,"IBA","Auxin (IBA 10uM)",0
"PIN1","control_3_auxin_root-apex_6h_xuan",0.396959528001889,"control",144906.327627783,22590,"auxin_root-apex_6h_xuan","control","root-apex","6h","xuan","Control","control","auxin_root-apex_6h_xuan",10,"IBA","Auxin (IBA 10uM)",0
"PIN1","treat_1_auxin_root-apex_6h_xuan",0.441593511890812,"treat",144725.564784712,22590,"auxin_root-apex_6h_xuan","treat","root-apex","6h","xuan","Auxin","treat","auxin_root-apex_6h_xuan",10,"IBA","Auxin (IBA 10uM)",10
"PIN1","treat_2_auxin_root-apex_6h_xuan",0.440024848024418,"treat",144714.319614003,22590,"auxin_root-apex_6h_xuan","treat","root-apex","6h","xuan","Auxin","treat","auxin_root-apex_6h_xuan",10,"IBA","Auxin (IBA 10uM)",10
"PIN1","treat_3_auxin_root-apex_6h_xuan",0.424806845422545,"treat",144602.097876745,22590,"auxin_root-apex_6h_xuan","treat","root-apex","6h","xuan","Auxin","treat","auxin_root-apex_6h_xuan",10,"IBA","Auxin (IBA 10uM)",10
"PIN2","control_1_auxin_root_2h_bargmann",0.457254332645004,"control",144895.456982637,22590,"auxin_root_2h_bargmann","control","root","2h","bargmann","Control","control","auxin_root_2h_bargmann",5,"IAA","Auxin (IAA 5uM)",0
"PIN2","control_2_auxin_root_2h_bargmann",0.442696011493018,"control",144906.492295472,22590,"auxin_root_2h_bargmann","control","root","2h","bargmann","Control","control","auxin_root_2h_bargmann",5,"IAA","Auxin (IAA 5uM)",0
