"sample","orig.ident","nCount_RNA","nFeature_RNA","Batch","Type","Tissue","Duration","Author","condition","group","dataset_dir","concentration_uM","auxin_compound","label","Concentration"
"control_2_auxin_root_8h_lewis","control",144823.513422043,22590,"auxin_root_8h_lewis","control","root","8h","lewis","Control","control","auxin_root_8h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"control_3_auxin_root_8h_lewis","control",144744.097409198,22590,"auxin_root_8h_lewis","control","root","8h","lewis","Control","control","auxin_root_8h_lewis",1,"IAA","Auxin (IAA 1uM)",0
"treat_1_auxin_root_8h_lewis","treat",144950.172806519,22590,"auxin_root_8h_lewis","treat","root","8h","lewis","Auxin","treat","auxin_root_8h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"treat_2_auxin_root_8h_lewis","treat",144916.250531644,22590,"auxin_root_8h_lewis","treat","root","8h","lewis","Auxin","treat","auxin_root_8h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"treat_3_auxin_root_8h_lewis","treat",144868.756145071,22590,"auxin_root_8h_lewis","treat","root","8h","lewis","Auxin","treat","auxin_root_8h_lewis",1,"IAA","Auxin (IAA 1uM)",1
"control_1_auxin_seedling_2h_okushima","control",144850.414454846,22590,"auxin_seedling_2h_okushima","control","seedling","2h","okushima","Control","control","auxin_seedling_2h_okushima",5,"IAA","Auxin (IAA 5uM)",0
"control_2_auxin_seedling_2h_okushima","control",144852.755342067,22590,"auxin_seedling_2h_okushima","control","seedling","2h","okushima","Control","control","auxin_seedling_2h_okushima",5,"IAA","Auxin (IAA 5uM)",0
"control_3_auxin_seedling_2h_okushima","control",145027.418420535,22590,"auxin_seedling_2h_okushima","control","seedling","2h","okushima","Control","control","auxin_seedling_2h_okushima",5,"IAA","Auxin (IAA 5uM)",0
"treat_1_auxin_seedling_2h_okushima","treat",144752.38393162,22590,"auxin_seedling_2h_okushima","treat","seedling","2h","okushima","Auxin","treat","auxin_seedling_2h_okushima",5,"IAA","Auxin (IAA 5uM)",5
"treat_2_auxin_seedling_2h_okushima","treat",144785.81138481,22590,"auxin_seedling_2h_okushima","treat","seedling","2h","okushima","Auxin","treat","auxin_seedling_2h_okushima",5,"IAA","Auxin (IAA 5uM)",5
"treat_3_auxin_seedling_2h_okushima","treat",144786.604613882,22590,"auxin_seedling_2h_okushima","treat","seedling","2h","okushima","Auxin","treat","auxin_seedling_2h_okushima",5,"IAA","Auxin (IAA 5uM)",5
"control_1_auxin_leaves_72h_romero-puertas","control",144834.927944919,22590,"auxin_leaves_72h_romero-puertas","control","leaves","72h","romero-puertas","Control","control","auxin_leaves_72h_romero-puertas",10,"NAA","Auxin (NAA 10uM)",0
"control_2_auxin_leaves_72h_romero-puertas","control",144820.13560876,22590,"auxin_leaves_72h_romero-puertas","control","leaves","72h","romero-puertas","Control","control","auxin_leaves_72h_romero-puertas",10,"NAA","Auxin (NAA 10uM)",0
"control_3_auxin_leaves_72h_romero-puertas","control",144795.749595683,22590,"auxin_leaves_72h_romero-puertas","control","leaves","72h","romero-puertas","Control","control","auxin_leaves_72h_romero-puertas",10,"NAA","Auxin (NAA 10uM)",0
"treat_1_auxin_leaves_72h_romero-puertas","treat",144904.813770844,22590,"auxin_leaves_72h_romero-puertas","treat","leaves","72h","romero-puertas","Auxin","treat","auxin_leaves_72h_romero-puertas",10,"NAA","Auxin (NAA 10uM)",10
"treat_2_auxin_leaves_72h_romero-puertas","treat",144867.605003919,22590,"auxin_leaves_72h_romero-puertas","treat","leaves","72h","romero-puertas","Auxin","treat","auxin_leaves_72h_romero-puertas",10,"NAA","Auxin (NAA 10uM)",10
"treat_3_auxin_leaves_72h_romero-puertas","treat",144895.691298338,22590,"auxin_leaves_72h_romero-puertas","treat","leaves","72h","romero-puertas","Auxin","treat","auxin_leaves_72h_romero-puertas",10,"NAA","Auxin (NAA 10uM)",10
"control_1_auxin_seedling_3h_shimada","control",144936.148632461,22590,"auxin_seedling_3h_shimada","control","seedling","3h","shimada","Control","control","auxin_seedling_3h_shimada",1,"IAA","Auxin (IAA 1uM)",0
"control_2_auxin_seedling_3h_shimada","control",144826.947354206,22590,"auxin_seedling_3h_shimada","control","seedling","3h","shimada","Control","control","auxin_seedling_3h_shimada",1,"IAA","Auxin (IAA 1uM)",0
"control_3_auxin_seedling_3h_shimada","control",144820.075522564,22590,"auxin_seedling_3h_shimada","control","seedling","3h","shimada","Control","control","auxin_seedling_3h_shimada",1,"IAA","Auxin (IAA 1uM)",0
"treat_1_auxin_seedling_3h_shimada","treat",144885.553254898,22590,"auxin_seedling_3h_shimada","treat","seedling","3h","shimada","Auxin","treat","auxin_seedling_3h_shimada",1,"IAA","Auxin (IAA 1uM)",1
"treat_2_auxin_seedling_3h_shimada","treat",144878.829063559,22590,"auxin_seedling_3h_shimada","treat","seedling","3h","shimada","Auxin","treat","auxin_seedling_3h_shimada",1,"IAA","Auxin (IAA 1uM)",1
