"iSensor","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","tissue","neglog10_padj"
"ATH-aux-trans-ARF",3.31315270734546e-83,0.974410556151611,0.971,0.953,9.18646887036697e-83,"Young_LRC_Columella_2",82.0368513922932
"random2",8.03191646634586e-83,-0.263695155434249,1,1,2.13020393237868e-82,"Young_LRC_Columella_2",81.6715788179382
"ATH-aux-cis-IR8-ARF6",4.89335205059288e-82,-0.220946833597594,1,1,1.24372697952569e-81,"Young_LRC_Columella_2",80.9052749446442
"ATH-aux-reg-IR8-ARF5-1-up",1.10258768644967e-77,0.397738854077424,1,1,2.69031395493719e-77,"Young_LRC_Columella_2",76.570197035633
"ATH-aux-cis-IR8-TGTCNN",1.31624379920422e-71,-0.215252143917384,1,1,3.08811045197914e-71,"Young_LRC_Columella_2",70.5103071747135
"ATH-aux-cis-DR5-ARF3",3.3343396416414e-67,-0.172030802789697,1,1,7.53313770889354e-67,"Young_LRC_Columella_2",66.1230240934109
"ATH-aux-cis-IR8-ARF8",8.81844257540373e-67,-0.168123252512573,1,1,1.92116070392724e-66,"Young_LRC_Columella_2",65.7164363051489
"ATH-aux-reg-DR5-ARF6-up",2.88422132305332e-62,-0.371402126942313,1,1,6.06681036918112e-62,"Young_LRC_Columella_2",61.2170395796242
"ATH-aux-reg-DR5-ARF1-down",1.00743740063164e-55,-0.586223937637019,0.956,0.986,2.048456047951e-55,"Young_LRC_Columella_2",54.688573349913
"ATH-aux-reg-IR8-ARF1-up",4.92643308486838e-41,-0.750499520222778,0.268,0.516,9.69394897345068e-41,"Young_LRC_Columella_2",40.013499270626
"ATH-aux-cis-IR8-ARF3",6.28890326709567e-38,-0.201500240304826,1,1,1.19882218529011e-37,"Young_LRC_Columella_2",36.9212452286394
"ATH-aux-reg-IR8-ARF8-up",5.18480529463046e-37,0.314214645328782,1,1,9.58403402946843e-37,"Young_LRC_Columella_2",36.018451652928
"ATH-aux-cis-DR5-ARF1",5.05211277300024e-35,-0.126556370310455,1,1,9.06408468097102e-35,"Young_LRC_Columella_2",34.042676045741
"ATH-aux-cis-DR5-TGTCGG",1.56523854235478e-32,-0.363938832276272,0.98,0.995,2.72798717381833e-32,"Young_LRC_Columella_2",31.5641576759338
"ATH-aux-reg-DR5-ARF5-2-down",2.69156813664111e-30,-0.426450291075324,0.938,0.978,4.56071267597521e-30,"Young_LRC_Columella_2",29.3409672873664
"ATH-aux-trans-ConjugationDeconjugation",3.04494960696327e-29,0.349016549586445,0.998,1,5.02005205472322e-29,"Young_LRC_Columella_2",28.2992917794761
"ATH-aux-reg-DR5-ARF5-1-up",1.28416091517976e-27,0.167780955584776,1,1,2.06141620594646e-27,"Young_LRC_Columella_2",26.6858343140446
"ATH-aux-reg-DR5-TGTCNN-up",2.0139966484265e-25,-0.268844921720761,1,1,3.15009732189786e-25,"Young_LRC_Columella_2",24.5016760285246
"ATH-aux-reg-IR8-ARF8-down",2.60840087503667e-25,-0.323018330039189,0.99,0.996,3.97781133443092e-25,"Young_LRC_Columella_2",24.4003558190896
"ATH-aux-reg-DR5-ARF5-2-up",7.71766334240053e-24,0.354410039279747,0.996,0.999,1.14823771679618e-23,"Young_LRC_Columella_2",22.9399681917243
"ATH-aux-reg-DR5-ARF2-up",2.03978057457403e-20,-0.232268087471073,1,1,2.962538453548e-20,"Young_LRC_Columella_2",19.5283360038324
"ATH-aux-reg-IR8-ARF5-1-down",2.1472384399062e-20,-0.220104701742454,0.997,1,3.04608243800647e-20,"Young_LRC_Columella_2",19.5162583472617
"ATH-aux-reg-IR8-ARF5-2-down",3.67382412652448e-18,-0.294100831285379,0.856,0.941,5.09325617540894e-18,"Young_LRC_Columella_2",17.2930044795732
"ATH-aux-trans-A-ARF",1.61631671767009e-16,0.522245831615854,0.84,0.827,2.19100710617501e-16,"Young_LRC_Columella_2",15.6593562138735
"ATH-aux-trans-Transport",3.34538125989501e-16,0.31885195816245,0.996,0.996,4.43626645333904e-16,"Young_LRC_Columella_2",15.3529823769188
"ATH-aux-reg-IR8-TGTCNN-up",2.36282269965872e-15,-0.314513427314905,0.989,0.993,3.06664222721663e-15,"Young_LRC_Columella_2",14.5133368884482
"ATH-aux-trans-Receptors",7.10405758785594e-13,-0.277315576888928,0.777,0.897,9.02807318456692e-13,"Young_LRC_Columella_2",12.0444049290443
"ATH-aux-reg-IR8-ARF5-2-up",3.74137595592774e-11,0.269139036225395,1,1,4.65763129207331e-11,"Young_LRC_Columella_2",10.3318348941087
"ATH-aux-reg-IR8-ARF3-up",1.65803403846892e-07,0.200554427577274,0.988,0.98,2.02280152693208e-07,"Young_LRC_Columella_2",6.69404672720781
"random1",5.07604333372665e-07,-0.0687169184924441,1,1,6.07134594818285e-07,"Young_LRC_Columella_2",6.21671502011564
"ATH-aux-reg-IR8-ARF2-up",5.45691872274428e-07,-0.0736456769512031,1,1,6.40138542475771e-07,"Young_LRC_Columella_2",6.1937260233266
"ATH-aux-reg-IR8-ARF6-down",0.00013830963487988,-0.0810187269227835,0.954,0.98,0.000159186560899485,"Young_LRC_Columella_2",3.79809359974885
"ATH-aux-reg-IR8-TGTCNN-down",0.00143418110481668,0.37299042285587,0.772,0.811,0.00162009347025587,"Young_LRC_Columella_2",2.79045992839236
"ATH-aux-reg-IR8-ARF3-down",0.0110859237014276,0.00046626599226185,0.761,0.831,0.0122952971961288,"Young_LRC_Columella_2",1.91026096923687
