"Organ","Tissue_Cleaned","ARF","Conjugation","PAT","Synthesis","ARF_hat","resid"
"Leaf","Mesophyll",0.0620502080700288,0.0721115969560249,0.0119364316072249,0.00921560214989489,0.0475221849002942,0.0145280231697346
"Leaf","Parenchyma-cell",0.0806570939462181,0.0724296529041186,0.00482155573365058,0.037326856871568,0.114018959074731,-0.033361865128513
"Leaf","Vascular-cylinder",0.0933806998318935,0.1469127634036,0.0533446616455831,0.0241558181479865,0.114560232677385,-0.0211795328454913
"Root","Cortex",0.154059314150419,0.455089538505249,0.072017189626181,0.0280844438768842,0.227068057230843,-0.0730087430804239
"Root","Endodermis",0.24774969447257,0.518236275655072,0.115709752295502,0.0423071538121934,0.288979237218374,-0.0412295427458039
"Root","Epidermis",0.128241085762913,0.352015532233698,0.0773055137058323,0.0210277456391472,0.177545084504762,-0.049303998741849
"Root","epidermis-near-root-hair",0.130283164539435,0.452465405787517,0.0579860204492758,0.0274822875640759,0.222444704869495,-0.0921615403300596
"Root","Exodermis",0.138707857737657,0.315083819040055,0.0688940328293574,0.0212572321262735,0.164722675335094,-0.0260148175974373
"Root","Meristem",0.144911595017449,0.325626257596044,0.0786539488871703,0.0224532990343124,0.172634635815131,-0.0277230407976825
"Root","Root-cap",0.133562581275869,0.238914046544891,0.187776684954579,0.0152417058546351,0.145250162502412,-0.0116875812265436
"Root","Sclerenchyma",0.132657127254598,0.287252252268495,0.0686338191051771,0.0184564696572928,0.148918836666652,-0.0162617094120547
"Root","Vascular-cylinder",0.198405572254935,0.460598081984018,0.139955764058503,0.0649040334316414,0.328616003525532,-0.130210431270597
"Shoot apical meristem","Epidermis",0.0917263158639622,0.127196205656401,0.0217114520558901,0.0252508795630755,0.105555597042968,-0.013829281179006
"Shoot apical meristem","Guard-cell",0.141906486620592,0.164263181442299,0.0430058037703937,0.0294132864190624,0.131113309096681,0.0107931775239108
"Shoot apical meristem","Meristem",0.119804689647976,0.132080950509473,0.036602662846479,0.0144758042780426,0.0837067676635598,0.0360979219844164
