"organ","tissue_simple","sensor","value"
"Silique 2 DPA","seed coat","Synthesis",0.0290515370956573
"Silique 2 DPA","unknown","ConjugationDeconjugation",0.0909884181274849
"Silique 2 DPA","unknown","IAA",0.210303132873329
"Silique 2 DPA","unknown","PAT",0.151880008770765
"Silique 2 DPA","unknown","Synthesis",0.0166610433708895
"Silique 2 DPA","xylem","ConjugationDeconjugation",0.113093896540689
"Silique 2 DPA","xylem","IAA",0.23639183092148
"Silique 2 DPA","xylem","PAT",0.1826680714552
"Silique 2 DPA","xylem","Synthesis",0.0139909797357239
"Silique 3 DPA","endosperm/embryo","ConjugationDeconjugation",0.0956694867274183
"Silique 3 DPA","endosperm/embryo","IAA",0.207303793800143
"Silique 3 DPA","endosperm/embryo","PAT",0.0740889089709384
"Silique 3 DPA","endosperm/embryo","Synthesis",0.0155283574668994
"Silique 3 DPA","epidermis","ConjugationDeconjugation",0.105636142525001
"Silique 3 DPA","epidermis","IAA",0.316325325140297
"Silique 3 DPA","epidermis","PAT",0.120486869943305
"Silique 3 DPA","epidermis","Synthesis",0.01026344832144
"Silique 3 DPA","guard cell","ConjugationDeconjugation",0.089630829119845
"Silique 3 DPA","guard cell","IAA",0.214948786696451
"Silique 3 DPA","guard cell","PAT",0.0978048467744881
"Silique 3 DPA","guard cell","Synthesis",0.00742869202133971
"Silique 3 DPA","male reproductive","ConjugationDeconjugation",0.0881363374367446
"Silique 3 DPA","male reproductive","IAA",0.221117769229666
"Silique 3 DPA","male reproductive","PAT",0.0879520698486752
"Silique 3 DPA","male reproductive","Synthesis",0.0120579642028064
"Silique 3 DPA","mesocarp","ConjugationDeconjugation",0.089683671231651
"Silique 3 DPA","mesocarp","IAA",0.230572143849625
"Silique 3 DPA","mesocarp","PAT",0.0868136047888687
"Silique 3 DPA","mesocarp","Synthesis",0.0101778713342749
"Silique 3 DPA","phloem","ConjugationDeconjugation",0.127418376995217
"Silique 3 DPA","phloem","IAA",0.250626944521557
"Silique 3 DPA","phloem","PAT",0.1288499141401
"Silique 3 DPA","phloem","Synthesis",0.0134302212419951
"Silique 3 DPA","procambium","ConjugationDeconjugation",0.130000745862994
"Silique 3 DPA","procambium","IAA",0.31687190706887
"Silique 3 DPA","procambium","PAT",0.261175713029307
"Silique 3 DPA","procambium","Synthesis",0.0114350714136374
"Silique 3 DPA","seed coat","ConjugationDeconjugation",0.142053286710161
"Silique 3 DPA","seed coat","IAA",0.234046857356746
"Silique 3 DPA","seed coat","PAT",0.101779161286219
