"ROI.name","Cell_type","Colour","ROI.id","point","x","y"
"poly4","Atrichoblast-m1","#FFFFFF","poly4",31,255.244170096022,214.926200274348
"poly4","Atrichoblast-m1","#FFFFFF","poly4",32,255.4,215.192455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",33,255.4,215.192455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",34,255.470096021948,215.229218106996
"poly4","Atrichoblast-m1","#FFFFFF","poly4",35,255.545953360768,215.271742112482
"poly4","Atrichoblast-m1","#FFFFFF","poly4",36,255.625925925926,215.318381344307
"poly4","Atrichoblast-m1","#FFFFFF","poly4",37,255.708367626886,215.367489711934
"poly4","Atrichoblast-m1","#FFFFFF","poly4",38,255.791632373114,215.417421124828
"poly4","Atrichoblast-m1","#FFFFFF","poly4",39,255.874074074074,215.466529492455
"poly4","Atrichoblast-m1","#FFFFFF","poly4",40,255.954046639232,215.51316872428
"poly4","Atrichoblast-m1","#FFFFFF","poly4",41,256.029903978052,215.555692729767
"poly4","Atrichoblast-m1","#FFFFFF","poly4",42,256.1,215.592455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",43,256.1,215.592455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",44,258.063237311385,215.592455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",45,260.020713305898,215.592455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",46,261.974074074074,215.592455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",47,263.924965706447,215.592455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",48,265.875034293553,215.592455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",49,267.825925925926,215.592455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",50,269.779286694101,215.592455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",51,271.736762688614,215.592455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",52,273.7,215.592455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",53,273.7,215.592455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",54,274.121262002743,215.556378600823
"poly4","Atrichoblast-m1","#FFFFFF","poly4",55,274.514540466392,215.451989026063
"poly4","Atrichoblast-m1","#FFFFFF","poly4",56,274.874074074074,215.285048010973
"poly4","Atrichoblast-m1","#FFFFFF","poly4",57,275.194101508916,215.061316872428
"poly4","Atrichoblast-m1","#FFFFFF","poly4",58,275.468861454047,214.786556927297
"poly4","Atrichoblast-m1","#FFFFFF","poly4",59,275.692592592593,214.466529492455
"poly4","Atrichoblast-m1","#FFFFFF","poly4",60,275.859533607682,214.106995884773
"poly4","Atrichoblast-m1","#FFFFFF","poly4",61,275.963923182442,213.713717421125
"poly4","Atrichoblast-m1","#FFFFFF","poly4",62,276,213.292455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",63,276,213.292455418381
"poly4","Atrichoblast-m1","#FFFFFF","poly4",64,275.963923182442,212.927297668038
"poly4","Atrichoblast-m1","#FFFFFF","poly4",65,275.859533607682,212.571193415638
"poly4","Atrichoblast-m1","#FFFFFF","poly4",66,275.692592592593,212.233196159122
"poly4","Atrichoblast-m1","#FFFFFF","poly4",67,275.468861454047,211.922359396433
"poly4","Atrichoblast-m1","#FFFFFF","poly4",68,275.194101508916,211.647736625514
"poly4","Atrichoblast-m1","#FFFFFF","poly4",69,274.874074074074,211.418381344307
"poly4","Atrichoblast-m1","#FFFFFF","poly4",70,274.514540466392,211.243347050754
"poly4","Atrichoblast-m1","#FFFFFF","poly4",71,274.121262002743,211.131687242798
"poly4","Atrichoblast-m1","#FFFFFF","poly4",72,273.7,211.092455418381
"poly5","Atrichoblast-m1","#FFFFFF","poly5",1,276.9,215.692455418381
"poly5","Atrichoblast-m1","#FFFFFF","poly5",2,276.9,215.692455418381
"poly5","Atrichoblast-m1","#FFFFFF","poly5",3,275.463237311385,215.629218106996
"poly5","Atrichoblast-m1","#FFFFFF","poly5",4,274.020713305898,215.571742112482
"poly5","Atrichoblast-m1","#FFFFFF","poly5",5,272.574074074074,215.518381344307
"poly5","Atrichoblast-m1","#FFFFFF","poly5",6,271.124965706447,215.467489711934
"poly5","Atrichoblast-m1","#FFFFFF","poly5",7,269.675034293553,215.417421124828
"poly5","Atrichoblast-m1","#FFFFFF","poly5",8,268.225925925926,215.366529492455
"poly5","Atrichoblast-m1","#FFFFFF","poly5",9,266.779286694101,215.31316872428
"poly5","Atrichoblast-m1","#FFFFFF","poly5",10,265.336762688614,215.255692729767
"poly5","Atrichoblast-m1","#FFFFFF","poly5",11,263.9,215.192455418381
"poly5","Atrichoblast-m1","#FFFFFF","poly5",12,263.9,215.192455418381
"poly5","Atrichoblast-m1","#FFFFFF","poly5",13,261.754320987654,214.975994513031
"poly5","Atrichoblast-m1","#FFFFFF","poly5",14,259.964197530864,214.853360768175
"poly5","Atrichoblast-m1","#FFFFFF","poly5",15,258.5,214.814677640603
"poly5","Atrichoblast-m1","#FFFFFF","poly5",16,257.332098765432,214.850068587105
"poly5","Atrichoblast-m1","#FFFFFF","poly5",17,256.430864197531,214.949657064472
"poly5","Atrichoblast-m1","#FFFFFF","poly5",18,255.766666666667,215.103566529492
"poly5","Atrichoblast-m1","#FFFFFF","poly5",19,255.30987654321,215.301920438957
"poly5","Atrichoblast-m1","#FFFFFF","poly5",20,255.030864197531,215.534842249657
"poly5","Atrichoblast-m1","#FFFFFF","poly5",21,254.9,215.792455418381
"poly5","Atrichoblast-m1","#FFFFFF","poly5",22,254.9,215.792455418381
"poly5","Atrichoblast-m1","#FFFFFF","poly5",23,254.858573388203,215.966666666667
"poly5","Atrichoblast-m1","#FFFFFF","poly5",24,254.86488340192,216.156515775034
"poly5","Atrichoblast-m1","#FFFFFF","poly5",25,254.914814814815,216.362825788751
"poly5","Atrichoblast-m1","#FFFFFF","poly5",26,255.004252400549,216.586419753086
"poly5","Atrichoblast-m1","#FFFFFF","poly5",27,255.129080932785,216.828120713306
"poly5","Atrichoblast-m1","#FFFFFF","poly5",28,255.285185185185,217.088751714677
"poly5","Atrichoblast-m1","#FFFFFF","poly5",29,255.468449931413,217.369135802469
"poly5","Atrichoblast-m1","#FFFFFF","poly5",30,255.67475994513,217.670096021948
"poly5","Atrichoblast-m1","#FFFFFF","poly5",31,255.9,217.992455418381
"poly5","Atrichoblast-m1","#FFFFFF","poly5",32,255.9,217.992455418381
"poly5","Atrichoblast-m1","#FFFFFF","poly5",33,256.169821673525,218.347873799726
"poly5","Atrichoblast-m1","#FFFFFF","poly5",34,256.443758573388,218.68024691358
"poly5","Atrichoblast-m1","#FFFFFF","poly5",35,256.718518518519,218.988751714677
"poly5","Atrichoblast-m1","#FFFFFF","poly5",36,256.990809327846,219.27256515775
"poly5","Atrichoblast-m1","#FFFFFF","poly5",37,257.257338820302,219.530864197531
"poly5","Atrichoblast-m1","#FFFFFF","poly5",38,257.514814814815,219.762825788752
"poly5","Atrichoblast-m1","#FFFFFF","poly5",39,257.759945130315,219.967626886145
"poly5","Atrichoblast-m1","#FFFFFF","poly5",40,257.989437585734,220.144444444444
"poly5","Atrichoblast-m1","#FFFFFF","poly5",41,258.2,220.292455418381
"poly5","Atrichoblast-m1","#FFFFFF","poly5",42,276.9,220.292455418381
"poly5","Atrichoblast-m1","#FFFFFF","poly5",43,276.9,220.292455418381
"poly5","Atrichoblast-m1","#FFFFFF","poly5",44,277.321262002743,220.256378600823
"poly5","Atrichoblast-m1","#FFFFFF","poly5",45,277.714540466392,220.151989026063
