"organ","tissue_simple","sensor","value"
"Late flower","male reproductive","Synthesis",0.00804403449268197
"Late flower","phloem","ConjugationDeconjugation",0.0838606776217238
"Late flower","phloem","DR5-ARF3-up",0.150294354991032
"Late flower","phloem","PAT",0.115512277546793
"Late flower","phloem","Synthesis",0.012340948981366
"Late flower","procambium","ConjugationDeconjugation",0.160477690545914
"Late flower","procambium","DR5-ARF3-up",0.133544772386703
"Late flower","procambium","PAT",0.748227754479749
"Late flower","procambium","Synthesis",0.0472669581159416
"Silique 0 DPA","cortex","ConjugationDeconjugation",0.209305385599224
"Silique 0 DPA","cortex","DR5-ARF3-up",0.182608843036303
"Silique 0 DPA","cortex","PAT",0.217727222805927
"Silique 0 DPA","cortex","Synthesis",0.0209203572442119
"Silique 0 DPA","dividing cell","ConjugationDeconjugation",0.148724279744977
"Silique 0 DPA","dividing cell","DR5-ARF3-up",0.168763031784168
"Silique 0 DPA","dividing cell","PAT",0.179474897732965
"Silique 0 DPA","dividing cell","Synthesis",0.0284242378725685
"Silique 0 DPA","epidermis","ConjugationDeconjugation",0.166904786728916
"Silique 0 DPA","epidermis","DR5-ARF3-up",0.171061857881825
"Silique 0 DPA","epidermis","PAT",0.218708603088328
"Silique 0 DPA","epidermis","Synthesis",0.0359090707410537
"Silique 0 DPA","female reproductive","ConjugationDeconjugation",0.197851754348184
"Silique 0 DPA","female reproductive","DR5-ARF3-up",0.188904027376922
"Silique 0 DPA","female reproductive","PAT",0.224037948236405
"Silique 0 DPA","female reproductive","Synthesis",0.0227220095925305
"Silique 0 DPA","guard cell","ConjugationDeconjugation",0.148364544608179
"Silique 0 DPA","guard cell","DR5-ARF3-up",0.167704306500539
"Silique 0 DPA","guard cell","PAT",0.155278702240195
"Silique 0 DPA","guard cell","Synthesis",0.0124556569984532
"Silique 0 DPA","male reproductive","ConjugationDeconjugation",0.161162325527225
"Silique 0 DPA","male reproductive","DR5-ARF3-up",0.157240631058611
"Silique 0 DPA","male reproductive","PAT",0.202383877508389
"Silique 0 DPA","male reproductive","Synthesis",0.0204325909712018
"Silique 0 DPA","phloem","ConjugationDeconjugation",0.279190195164459
"Silique 0 DPA","phloem","DR5-ARF3-up",0.207261953447936
"Silique 0 DPA","phloem","PAT",0.3767785224059
"Silique 0 DPA","phloem","Synthesis",0.0243388487026903
"Silique 0 DPA","seed coat","ConjugationDeconjugation",0.122637607985996
"Silique 0 DPA","seed coat","DR5-ARF3-up",0.174565143161725
"Silique 0 DPA","seed coat","PAT",0.102258028543137
"Silique 0 DPA","seed coat","Synthesis",0.0164686243156072
"Silique 0 DPA","unknown","ConjugationDeconjugation",0.154140245443344
"Silique 0 DPA","unknown","DR5-ARF3-up",0.16397765975747
"Silique 0 DPA","unknown","PAT",0.171145622909401
"Silique 0 DPA","unknown","Synthesis",0.0184537525666368
"Silique 0 DPA","xylem","ConjugationDeconjugation",0.210998798022546
"Silique 0 DPA","xylem","DR5-ARF3-up",0.179436146972966
"Silique 0 DPA","xylem","PAT",0.637812632695141
"Silique 0 DPA","xylem","Synthesis",0.026077448693027
"Silique 2 DPA","abscission zones","ConjugationDeconjugation",0.133372178392733
"Silique 2 DPA","abscission zones","DR5-ARF3-up",0.155307035893366
"Silique 2 DPA","abscission zones","PAT",0.122634119543001
"Silique 2 DPA","abscission zones","Synthesis",0.00943807354496174
"Silique 2 DPA","dividing cell","ConjugationDeconjugation",0.0699799207432378
"Silique 2 DPA","dividing cell","DR5-ARF3-up",0.0984404175217216
"Silique 2 DPA","dividing cell","PAT",0.132254172979898
"Silique 2 DPA","dividing cell","Synthesis",0.0156618875548254
"Silique 2 DPA","endosperm/embryo","ConjugationDeconjugation",0.0877020041394683
"Silique 2 DPA","endosperm/embryo","DR5-ARF3-up",0.101657357491293
"Silique 2 DPA","endosperm/embryo","PAT",0.0968633649128563
"Silique 2 DPA","endosperm/embryo","Synthesis",0.020756210643415
"Silique 2 DPA","epidermis","ConjugationDeconjugation",0.105694601129479
"Silique 2 DPA","epidermis","DR5-ARF3-up",0.145013778262532
"Silique 2 DPA","epidermis","PAT",0.149128968496357
"Silique 2 DPA","epidermis","Synthesis",0.0177824894609926
"Silique 2 DPA","guard cell","ConjugationDeconjugation",0.0889788963812264
"Silique 2 DPA","guard cell","DR5-ARF3-up",0.116720454399232
"Silique 2 DPA","guard cell","PAT",0.149262773943542
"Silique 2 DPA","guard cell","Synthesis",0.0112058550690675
"Silique 2 DPA","male reproductive","ConjugationDeconjugation",0.0716859880010108
"Silique 2 DPA","male reproductive","DR5-ARF3-up",0.0791901669753598
"Silique 2 DPA","male reproductive","PAT",0.125723164232372
"Silique 2 DPA","male reproductive","Synthesis",0.0112194043072807
"Silique 2 DPA","mesocarp","ConjugationDeconjugation",0.0865413390674254
"Silique 2 DPA","mesocarp","DR5-ARF3-up",0.0987895016537739
"Silique 2 DPA","mesocarp","PAT",0.137796344842887
"Silique 2 DPA","mesocarp","Synthesis",0.0127940363169792
"Silique 2 DPA","phloem","ConjugationDeconjugation",0.140925248125541
"Silique 2 DPA","phloem","DR5-ARF3-up",0.136880197018991
"Silique 2 DPA","phloem","PAT",0.195682107244759
"Silique 2 DPA","phloem","Synthesis",0.0195353873395361
"Silique 2 DPA","procambium","ConjugationDeconjugation",0.147656534228264
"Silique 2 DPA","procambium","DR5-ARF3-up",0.116495365740919
"Silique 2 DPA","procambium","PAT",0.464310061751709
"Silique 2 DPA","procambium","Synthesis",0.0185647137494914
"Silique 2 DPA","seed coat","ConjugationDeconjugation",0.160930792812191
"Silique 2 DPA","seed coat","DR5-ARF3-up",0.100804579708029
"Silique 2 DPA","seed coat","PAT",0.137441389593625
"Silique 2 DPA","seed coat","Synthesis",0.0290515370956573
"Silique 2 DPA","unknown","ConjugationDeconjugation",0.0909884181274849
"Silique 2 DPA","unknown","DR5-ARF3-up",0.105128124300622
"Silique 2 DPA","unknown","PAT",0.151880008770765
"Silique 2 DPA","unknown","Synthesis",0.0166610433708895
"Silique 2 DPA","xylem","ConjugationDeconjugation",0.113093896540689
"Silique 2 DPA","xylem","DR5-ARF3-up",0.116372643025532
"Silique 2 DPA","xylem","PAT",0.1826680714552
"Silique 2 DPA","xylem","Synthesis",0.0139909797357239
"Silique 3 DPA","endosperm/embryo","ConjugationDeconjugation",0.0956694867274183
"Silique 3 DPA","endosperm/embryo","DR5-ARF3-up",0.121551331278464
"Silique 3 DPA","endosperm/embryo","PAT",0.0740889089709384
"Silique 3 DPA","endosperm/embryo","Synthesis",0.0155283574668994
"Silique 3 DPA","epidermis","ConjugationDeconjugation",0.105636142525001
"Silique 3 DPA","epidermis","DR5-ARF3-up",0.101598116232098
"Silique 3 DPA","epidermis","PAT",0.120486869943305
"Silique 3 DPA","epidermis","Synthesis",0.01026344832144
"Silique 3 DPA","guard cell","ConjugationDeconjugation",0.089630829119845
"Silique 3 DPA","guard cell","DR5-ARF3-up",0.0961087152625463
"Silique 3 DPA","guard cell","PAT",0.0978048467744881
"Silique 3 DPA","guard cell","Synthesis",0.00742869202133971
"Silique 3 DPA","male reproductive","ConjugationDeconjugation",0.0881363374367446
"Silique 3 DPA","male reproductive","DR5-ARF3-up",0.0884833336385802
"Silique 3 DPA","male reproductive","PAT",0.0879520698486752
"Silique 3 DPA","male reproductive","Synthesis",0.0120579642028064
"Silique 3 DPA","mesocarp","ConjugationDeconjugation",0.089683671231651
"Silique 3 DPA","mesocarp","DR5-ARF3-up",0.0924548423084576
"Silique 3 DPA","mesocarp","PAT",0.0868136047888687
"Silique 3 DPA","mesocarp","Synthesis",0.0101778713342749
"Silique 3 DPA","phloem","ConjugationDeconjugation",0.127418376995217
"Silique 3 DPA","phloem","DR5-ARF3-up",0.116331565316545
"Silique 3 DPA","phloem","PAT",0.1288499141401
"Silique 3 DPA","phloem","Synthesis",0.0134302212419951
"Silique 3 DPA","procambium","ConjugationDeconjugation",0.130000745862994
"Silique 3 DPA","procambium","DR5-ARF3-up",0.112040060930222
"Silique 3 DPA","procambium","PAT",0.261175713029307
"Silique 3 DPA","procambium","Synthesis",0.0114350714136374
"Silique 3 DPA","seed coat","ConjugationDeconjugation",0.142053286710161
"Silique 3 DPA","seed coat","DR5-ARF3-up",0.0999751394519828
"Silique 3 DPA","seed coat","PAT",0.101779161286219
"Silique 3 DPA","seed coat","Synthesis",0.0214841936174258
"Silique 3 DPA","unknown","ConjugationDeconjugation",0.0940501302310482
"Silique 3 DPA","unknown","DR5-ARF3-up",0.104461779903245
"Silique 3 DPA","unknown","PAT",0.107154634195329
"Silique 3 DPA","unknown","Synthesis",0.0104918388713077
"Silique 3 DPA","xylem","ConjugationDeconjugation",0.0839172382044478
"Silique 3 DPA","xylem","DR5-ARF3-up",0.0869333393042745
"Silique 3 DPA","xylem","PAT",0.0800855632311493
"Silique 3 DPA","xylem","Synthesis",0.0131241838522805
"Silique 4 DPA","dividing cell","ConjugationDeconjugation",0.0928013102571257
"Silique 4 DPA","dividing cell","DR5-ARF3-up",0.0968176097866992
"Silique 4 DPA","dividing cell","PAT",0.075510828710682
"Silique 4 DPA","dividing cell","Synthesis",0.0157407204734435
"Silique 4 DPA","endosperm/embryo","ConjugationDeconjugation",0.112194244009562
"Silique 4 DPA","endosperm/embryo","DR5-ARF3-up",0.126930602247988
"Silique 4 DPA","endosperm/embryo","PAT",0.0572886285041444
